20140101,Fresh,0.8978020411795414,per_pound,0.49,0.4629707505882429,pounds,0.8482777242541814
20140101,Juice - Frozen,0.6748396786175535,per_pint,1,0.5,pints,0.3374198393087767
20140101,Juice - Ready to drink,0.824989780378088,per_pint,1,0.5,pints,0.412494890189044
20170101,Fresh,1.0097972268,per_pound,0.49,0.4629707505882429,pounds,0.9540950612929023
20170101,Juice - ready to drink,0.8494909232,per_pint,1,0.5,pints,0.4247454616
20210101,Fresh,1.16948814416534,per_pound,0.49,0.4629707505882429,pounds,1.1049771508332218
20210101,Juice - ready to drink,1.04151988857738,per_pint,1,0.5,pints,0.52075994428869
20230101,Fresh,1.44437282493554,per_pound,0.49,0.4629707505882429,pounds,1.3646987161013628
20230101,Juice - ready to drink,1.19351651630181,per_pint,1,0.5,pints,0.596758258150905
20240101,Fresh,1.39577571801088,per_pound,0.49,0.4629707505882429,pounds,1.3187823098374303
20240101,Juice - ready to drink,1.21936719038613,per_pint,1,0.5,pints,0.609683595193065